Date,Open,High,Low,Close,Volume
2022-06-13,2943.061760387616,2945.745403330219,2855.7985936915675,2880.085693359375,3030921
2022-06-14,2853.606749841241,2897.3500386797054,2839.920128333768,2871.98974609375,2611493
2022-06-15,2879.100935086829,2892.966420404165,2863.4463548898366,2868.1875,1404536
2022-06-16,2898.3341186445737,2902.6727617050265,2802.6622999813585,2810.66845703125,2032028
2022-06-17,2765.940909256889,2789.8700552215146,2704.977583624793,2763.167724609375,5240434
2022-06-20,2767.730352460193,2807.761358689215,2745.3666618294546,2784.18994140625,1502769
2022-06-21,2799.934053640477,2896.321559800145,2795.8190472258425,2873.2421875,2964461
2022-06-22,2862.4621814062994,2907.7711389421333,2847.34441747468,2883.08154296875,3336315
2022-06-23,2883.082151369264,2968.1089446533183,2883.082151369264,2959.879150390625,3692578
2022-06-24,2986.8943632734695,2992.261648742065,2931.8796872203643,2945.834716796875,2132118
2022-06-27,2996.734310666759,3008.2738867735548,2957.821492005862,2965.15673828125,2037686
2022-06-28,2958.2685585950026,2978.8431509287448,2927.49621220182,2968.24267578125,1400046
2022-06-29,2926.064868694561,2981.5268136224313,2926.064868694561,2943.508544921875,2133994
2022-06-30,2926.959611694538,2961.757424365387,2911.75230319857,2922.576416015625,2719603
2022-07-01,2916.2249914387658,2981.526962105953,2909.1133821479257,2965.5146484375,1502879
2022-07-04,2962.741394025175,2968.0639081040827,2884.960530635869,2893.906005859375,2622535
2022-07-05,2911.7524940289427,2926.959803521567,2868.769437342766,2877.133544921875,2170627
2022-07-06,2879.1008792132275,2923.8282503366268,2864.5644835981225,2916.8955078125,2182144
2022-07-07,2926.064970356502,2969.3609834462977,2920.7424562325778,2941.13818359375,1989921
2022-07-08,2952.006757539261,2956.479495050684,2907.27938242503,2921.10009765625,2136916
2022-07-11,2868.0537232952515,2884.9160330481313,2778.4648677976734,2785.4423828125,6974600
2022-07-12,2786.4261820294582,2805.480089247644,2755.4301956021764,2759.410888671875,3734815
2022-07-13,2776.675874125874,2782.043159965035,2714.9520869755243,2718.306640625,3863530
2022-07-14,2740.9539990621092,2741.850908093216,2661.129095293612,2689.60595703125,4764908
2022-07-15,2707.3639776191076,2716.6468518893935,2648.571564686502,2685.883056640625,4574806
2022-07-18,2711.3551275827026,2759.743310428452,2703.5520653201875,2747.679931640625,3202795
2022-07-19,2717.678694261558,2761.5374492687492,2717.678694261558,2757.322021484375,1865074
2022-07-20,2787.413066314355,2844.9496752294567,2778.6682059727723,2838.536865234375,3402251
2022-07-21,2840.5103301995564,2855.757780661632,2819.9263158701324,2849.74853515625,2420640
2022-07-22,2856.65437879415,2867.4172838319932,2819.4326655382765,2844.09765625,2075886
2022-07-25,2838.716542307275,2857.9551935626573,2824.4557790199847,2840.2861328125,1797504
2022-07-26,2838.447170750544,2842.214143830151,2777.2780357816973,2794.677978515625,2639367
2022-07-27,2793.871103155603,2864.8166816784224,2789.386558848772,2860.10791015625,1389808
2022-07-28,2884.4586528139857,2927.5102744977767,2871.587924159354,2924.37109375,2106333
2022-07-29,2950.8302896163445,2975.315946452222,2937.3766560770605,2961.50341796875,2430257
2022-08-01,2984.016178127626,2984.016178127626,2933.7892752195567,2958.723388671875,1306913
2022-08-02,2950.8301003625766,2971.369225326498,2934.371735466329,2952.444580078125,1269114
2022-08-03,2941.8612149554574,3003.747929538362,2939.2153774741914,2995.227294921875,2895824
2022-08-04,3004.6448173920953,3038.637577140398,2966.3917403654004,3009.08447265625,2150567
2022-08-05,3014.689636001641,3028.860837995697,3009.1288455657577,3018.142822265625,1106933
2022-08-08,3018.098229912615,3030.56517513093,2992.087873696429,3026.573974609375,1068836
2022-08-10,3036.0369831650146,3036.0369831650146,2991.1915328966984,3008.45703125,1878359
2022-08-11,3049.489719343499,3075.2309564153497,3027.1118900503357,3069.670166015625,1449248
2022-08-12,3066.5313868784974,3066.5313868784974,3032.6730774737994,3050.88037109375,1472354
2022-08-16,3059.355857327806,3062.809043729428,3038.2785009375384,3042.9423828125,839942
2022-08-17,3036.126264902708,3065.589589525235,3023.56954088203,3050.476806640625,1622326
2022-08-18,3040.521293033734,3042.3151109057303,3015.407842825786,3032.67333984375,1430659
2022-08-19,3037.8303646112154,3068.773720849505,3023.7040498067786,3036.709228515625,1398410
2022-08-22,3018.0982394990715,3035.22928589152,3002.3125563634576,3008.7255859375,1536532
2022-08-23,2977.6926587789303,2997.3797653396714,2932.8921030180345,2945.987060546875,1849256
2022-08-24,2952.6235708434897,2966.97411067748,2915.132741732818,2919.751953125,1691923
2022-08-25,2938.2735062355546,2940.2017727488737,2883.337837048458,2886.43212890625,1946930
2022-08-26,2900.8727055826316,2921.2324952677013,2885.1767987152125,2890.02001953125,1457962
2022-08-29,2802.840110903929,2818.7153534977124,2763.376122142402,2809.61181640625,2539173
